#{"t_start": 1764217514.1654038, "env_id": "CarRacing-v3"}
r,l,t
446.971429,567,7523.296167
208.985603,452,7527.49138
673.722628,1000,7537.410611
625.490196,1000,7547.227928
339.02439,1000,7556.530589
-6.71831,371,7560.230405
535.714286,1000,7570.88792
79.192208,287,7573.820168
311.949686,1000,7583.610795
259.060403,1000,7592.894348
704.9,552,7597.925321
678.133333,853,7606.288731
105.776173,1000,7615.530215
430.612245,1000,7624.967895
871.014493,1000,7634.560037
725.342466,1000,7644.399068
536.363636,1000,7654.098996
400.0,1000,7663.253814
429.230769,1000,7673.067705
443.209877,1000,7683.097006
835.018051,1000,7692.686642
149.593103,643,7698.983804
401.466276,1000,7708.492567
863.235294,1000,7718.616421
293.939394,1000,7727.994659
551.685393,1000,7737.105932
338.77551,1000,7746.620217
709.210526,1000,7756.404443
817.562724,1000,7766.280373
851.219512,1000,7776.106234
81.184669,1000,7906.766274
253.461728,417,7911.542302
567.752443,1000,7921.530448
355.019454,502,7926.488737
840.0,1000,7935.917624
793.295374,641,7942.374746
127.147826,773,7950.08073
238.776923,844,7958.47668
300.776471,405,7962.285074
900.9,991,7972.101274
29.338889,409,7975.954869
721.548822,1000,7985.578819
351.104101,1000,7995.284907
67.173252,1000,8004.955428
190.110191,412,8009.008631
321.052632,1000,8018.71615
884.848485,1000,8028.384474
211.284047,1000,8038.164654
822.261484,1000,8048.087276
104.968944,1000,8057.59369
303.197527,598,8063.32952
565.551839,1000,8073.573717
359.649123,1000,8083.320677
355.197133,1000,8093.164121
136.311239,1000,8103.187142
820.382166,1000,8113.33327
546.64311,1000,8123.327088
731.683168,1000,8133.200865
521.621622,1000,8142.78239
484.664537,1000,8152.929021
623.684211,1000,8162.780127
815.857605,1000,8172.712922
706.122449,1000,8182.270895
884.435798,1000,8191.993705
468.181818,1000,8201.745847
752.941176,1000,8211.334532
705.460751,1000,8221.048391
873.584906,1000,8230.78756
227.808029,920,8239.013092
683.43949,1000,8248.704687
875.778547,1000,8258.380387
342.176871,1000,8267.983657
789.298893,1000,8277.237132
419.174041,1000,8287.033964
586.206897,1000,8296.615577
356.834532,1000,8306.166649
871.326165,1000,8315.749277
171.604938,1000,8325.166285
544.599303,1000,8334.848597
316.949153,1000,8344.655905
780.968061,659,8351.006612
645.980707,1000,8360.795588
868.531469,1000,8370.478692
675.862069,1000,8380.132373
282.604982,481,8384.706287
127.722772,1000,8394.149458
76.870748,1000,8403.580706
426.690391,1000,8413.339093
845.054945,1000,8423.078809
403.164557,1000,8433.131819
934.7,653,8439.469788
666.961652,1000,8449.481208
886.970684,1000,8459.038229
711.188811,1000,8468.696536
883.870968,1000,8477.94674
416.233766,1000,8487.755419
925.0,750,8494.975959
873.244147,1000,8504.519401
659.075908,1000,8514.258933
576.975945,1000,8523.813216
836.708861,1000,8533.350577
325.0,1000,8543.097574
936.2,638,8549.126523
881.343284,1000,8558.819313
892.727273,1000,8568.378035
916.8,832,8576.33496
534.146341,1000,8585.996289
581.388013,1000,8595.873746
765.517241,1000,8605.601259
288.349515,1000,8615.358452
892.509363,1000,8625.000509
827.586207,1000,8634.569514
788.888889,1000,8644.333812
544.688645,1000,8653.890234
856.043956,1000,8663.417371
321.818182,1000,8673.389895
